0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.100000000000000000e+01,1.398722330729166610e-05,1.398722330729166610e-05,9.424591064453118061e-02
4.000000000000000000e+00,6.500000000000000000e+01,8.265177408854167118e-05,9.663899739583334237e-05,6.511535644531246669e-01
5.000000000000000000e+00,1.110000000000000000e+02,1.411437988281250000e-04,2.377827962239583424e-04,1.602180480957030140e+00
6.000000000000000000e+00,1.640000000000000000e+02,2.085367838541666576e-04,4.463195800781250000e-04,3.007301330566404030e+00
7.000000000000000000e+00,2.610000000000000000e+02,3.318786621093750000e-04,7.781982421875000000e-04,5.243499755859371447e+00
8.000000000000000000e+00,3.150000000000000000e+02,4.005432128906250000e-04,1.178741455078125000e-03,7.942359924316400921e+00
9.000000000000000000e+00,4.310000000000000000e+02,5.480448404947916305e-04,1.726786295572916522e-03,1.163508605957030362e+01
1.000000000000000000e+01,5.370000000000000000e+02,6.828308105468750000e-04,2.409617106119791522e-03,1.623600006103514559e+01
1.100000000000000000e+01,6.820000000000000000e+02,8.672078450520833695e-04,3.276824951171875000e-03,2.207924652099607954e+01
1.200000000000000000e+01,8.470000000000000000e+02,1.077016194661458261e-03,4.353841145833333044e-03,2.933618164062497513e+01
1.300000000000000000e+01,9.120000000000000000e+02,1.159667968750000000e-03,5.513509114583333044e-03,3.715002441406247868e+01
1.400000000000000000e+01,1.074000000000000000e+03,1.365661621093750000e-03,6.879170735677083044e-03,4.635185241699215908e+01
1.500000000000000000e+01,1.350000000000000000e+03,1.716613769531250000e-03,8.595784505208332177e-03,5.791839599609370737e+01
1.600000000000000000e+01,1.480000000000000000e+03,1.881917317708333261e-03,1.047770182291666609e-02,7.059875488281245737e+01
1.700000000000000000e+01,1.681000000000000000e+03,2.137502034505208478e-03,1.261520385742187500e-02,8.500124359130853691e+01
1.800000000000000000e+01,1.621000000000000000e+03,2.061208089192708478e-03,1.467641194661458391e-02,9.888966369628899145e+01
1.900000000000000000e+01,2.064000000000000000e+03,2.624511718750000000e-03,1.730092366536458565e-02,1.165736236572265057e+02
2.000000000000000000e+01,1.835000000000000000e+03,2.333323160807291522e-03,1.963424682617187847e-02,1.322955551147460369e+02
