,bins,hist,pdf,cdf,cdf_normalized
53,53.0,1699,0.0021603902180989585,0.07832463582356772,527.751396179199
54,54.0,1855,0.0023587544759114585,0.08068339029947917,543.6446838378903
55,55.0,2139,0.002719879150390625,0.0834032694498698,561.9712295532223
56,56.0,2538,0.00322723388671875,0.08663050333658855,583.7163314819333
57,57.0,2906,0.0036951700846354165,0.09032567342122397,608.6143875122067
58,58.0,2886,0.00366973876953125,0.09399541219075522,633.3410873413083
59,59.0,3475,0.004418690999348958,0.09841410319010417,663.1142272949214
60,60.0,3856,0.004903157552083333,0.1033172607421875,696.1517028808589
61,61.0,4072,0.005177815755208333,0.10849507649739583,731.0398254394527
62,62.0,4367,0.005552927652994792,0.11404800415039062,768.4554519653315
63,63.0,5009,0.006369272867838542,0.12041727701822917,811.3716125488276
64,64.0,4701,0.005977630615234375,0.12639490763346356,851.6488876342769
65,65.0,4951,0.006295522054036458,0.13269042968750003,894.0681152343747
66,66.0,4621,0.005875905354817708,0.13856633504231775,933.6599655151364
67,67.0,4982,0.006334940592447917,0.14490127563476565,976.3447952270503
68,68.0,4648,0.005910237630208333,0.150811513264974,1016.1679763793941
69,69.0,4776,0.006072998046875,0.156884511311849,1057.0878372192378
70,70.0,4705,0.005982716878255208,0.1628672281901042,1097.3993835449214
71,71.0,4988,0.006342569986979167,0.16920979817708337,1140.135620117187
72,72.0,4705,0.005982716878255208,0.1751925150553386,1180.4471664428706
73,73.0,4994,0.006350199381510417,0.181542714436849,1223.2348098754876
74,74.0,4819,0.006127675374348958,0.18767038981119796,1264.5230865478509
75,75.0,5065,0.006440480550130208,0.19411087036132818,1307.9190444946285
76,76.0,5176,0.006581624348958333,0.20069249471028652,1352.2660293579097
77,77.0,5000,0.006357828776041667,0.20705032348632818,1395.1050796508785
78,78.0,5146,0.006543477376302083,0.21359380086263027,1439.195030212402
79,79.0,5320,0.006764729817708333,0.22035853068033862,1484.7757797241206
80,80.0,5003,0.006361643473307292,0.2267201741536459,1527.6405334472652
81,81.0,5346,0.00679779052734375,0.23351796468098965,1573.4440460205071
82,82.0,5141,0.006537119547526042,0.24005508422851568,1617.4911575317376
83,83.0,5615,0.007139841715494792,0.24719492594401046,1665.5994110107413
84,84.0,5167,0.006570180257161458,0.25376510620117193,1709.8692855834954
85,85.0,5486,0.006975809733072917,0.26074091593424487,1756.8722915649407
86,86.0,5742,0.00730133056640625,0.2680422465006511,1806.068656921386
87,87.0,5831,0.007414499918619792,0.2754567464192709,1856.0275573730464
88,88.0,6199,0.007882436116536459,0.28333918253580737,1909.1394119262686
89,89.0,6261,0.007961273193359375,0.29130045572916674,1962.782470703124
90,90.0,6087,0.007740020751953125,0.29904047648111987,2014.9347305297842
91,91.0,6566,0.008349100748697916,0.3073895772298178,2071.190971374511
92,92.0,6738,0.00856781005859375,0.31595738728841155,2128.9208755493155
93,93.0,6420,0.0081634521484375,0.32412083943684905,2183.9262161254874
94,94.0,6610,0.008405049641927084,0.3325258890787761,2240.559440612792
95,95.0,6534,0.00830841064453125,0.34083429972330737,2296.5415115356436
96,96.0,6723,0.008548736572265625,0.349383036295573,2354.1428985595694
97,97.0,6568,0.008351643880208334,0.3577346801757813,2410.4162750244127
98,98.0,5833,0.007417043050130208,0.3651517232259115,2460.39231109619
99,99.0,6461,0.008215586344401041,0.37336730957031256,2515.7489318847643
100,100.0,5798,0.007372538248697917,0.3807398478190105,2565.425094604491
101,101.0,5813,0.007391611735026042,0.38813145955403655,2615.2297744750963
102,102.0,5598,0.00711822509765625,0.3952496846516928,2663.192375183104
103,103.0,5862,0.00745391845703125,0.40270360310872405,2713.4168777465807
104,104.0,5370,0.00682830810546875,0.4095319112141928,2759.426017761229
105,105.0,5456,0.006937662760416667,0.4164695739746095,2806.171989440917
106,106.0,4938,0.00627899169921875,0.42274856567382824,2848.479835510253
107,107.0,5066,0.006441752115885417,0.42919031778971367,2891.884361267089
108,108.0,5089,0.006470998128255208,0.43566131591796886,2935.4859466552725
109,109.0,4884,0.0062103271484375,0.44187164306640636,2977.3311309814444
110,110.0,4878,0.00620269775390625,0.4480743408203126,3019.1249084472647
111,111.0,4835,0.006148020426432292,0.4542223612467449,3060.5502700805655
112,112.0,5034,0.00640106201171875,0.46062342325846367,3103.680625915526
113,113.0,4968,0.006317138671875,0.46694056193033867,3146.2455062866197
114,114.0,4713,0.005992889404296875,0.47293345133463555,3186.625595092772
115,115.0,5150,0.006548563639322917,0.4794820149739585,3230.74981689453
116,116.0,4947,0.006290435791015625,0.4857724507649741,3273.134773254393
117,117.0,5049,0.006420135498046875,0.492192586263021,3316.393646240233
118,118.0,5063,0.006437937418619792,0.4986305236816408,3359.772468566893
119,119.0,5165,0.006567637125651042,0.5051981608072919,3404.0252075195303
120,120.0,5231,0.006651560465494792,0.5118497212727866,3448.843421936034
121,121.0,5373,0.006832122802734375,0.518681844075521,3494.878265380858
122,122.0,4813,0.006120045979817708,0.5248018900553387,3536.11513519287
123,123.0,5129,0.006521860758463542,0.5313237508138022,3580.059432983397
124,124.0,5234,0.006655375162760417,0.5379791259765626,3624.9033508300768
125,125.0,5218,0.006635030110677083,0.5446141560872397,3669.610183715819
126,126.0,4942,0.006284077962239583,0.5508982340494794,3711.9523010253897
127,127.0,4720,0.006001790364583333,0.5569000244140627,3752.392364501952
128,128.0,4791,0.006092071533203125,0.5629920959472658,3793.4407424926744
129,129.0,4657,0.005921681722005208,0.5689137776692711,3833.341033935546
130,130.0,4283,0.005446116129557292,0.5743598937988283,3870.0369644165025
131,131.0,4692,0.0059661865234375,0.5803260803222658,3910.2371292114244
132,132.0,4000,0.005086263020833333,0.5854123433430992,3944.5083694458
133,133.0,3966,0.00504302978515625,0.5904553731282555,3978.4883041381827
134,134.0,3938,0.005007425944010417,0.5954627990722658,4012.2283401489244
135,135.0,3927,0.004993438720703125,0.600456237792969,4045.874130249022
